Card,Set,Mana Cost,Card Type,Color,Rarity,imageUrl,lowScore,highScore,review,color,set,power,toughness,text
Cherished Hatchling,Rivals of Ixalan,1G,Creature  - Dinosaur,Green,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421867/large/155677_200w.jpg?1515091906,2.5,,"The bark on this one is worse than the bite (of its friends). You aren't paying much for the ability, as a 2/1 for 2 is good, but it's hard for things to line up where you have mana up, a Dinosaur, and a fight you want to instigate, all at the right time. Still, the opponent will play scared, making this a card most decks will indeed cherish.",green,rix,2,1,"When Cherished Hatchling dies, you may cast Dinosaur spells this turn as though they had flash, and whenever you cast a Dinosaur spell this turn, it gains ""When this creature enters the battlefield, you may have it fight another target creature."""
Cinder Barrens,Rivals of Ixalan,,Land,Land,Common,,,,,,,,,Cinder Barrens enters the battlefield tapped. {T}: Add {B} or {R} to your mana pool.
Cleansing Ray,Rivals of Ixalan,1W,Sorcery,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422012/large/155803_200w.jpg?1515181108,0.5,,"A great sideboard card is still a sideboard card-this won't see the light of day in my main deck, but I will take it over middle-of-the-road playables. When you side this in against Vampires, it's excellent, and it's nice to have enchantment removal as well.",white,rix,,,Choose one —. • Destroy target Vampire. • Destroy target enchantment.
Cobbled Wings,Ixalan,2,Artifact  - Equipment,Artifact,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379431/large/145708_200w.jpg?1505504637,1,,"I can see siding this in for a matchup that always goes to a board stall, but I suspect you can do better. This just doesn't pack enough punch to be worth a whole card.",gold,xln,,,Equipped creature has flying. Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)
Colossal Dreadmaw,Both,4GG,Creature  - Dinosaur,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379432/large/145730_200w.jpg?1505504640,2.5,,"This is slightly worse than Carnage Tyrant, mainly because of the worse stats and the lack of great abilities. It's still a perfectly acceptable finisher, and a card I'll play multiples of in a ramp deck. It doesn't even sound bad to play one in a red-green beatdown deck, as a 6/6 trample is no laughing matter for the opponent.",green,xln,6,6,Trample
Colossal Dreadmaw,Both,4GG,Creature  - Dinosaur,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422013/large/155769_200w.jpg?1515181110,2.5,,"This is slightly worse than Carnage Tyrant, mainly because of the lesser stats and lack of great abilities. It's still a perfectly acceptable finisher, and a card I'll play multiples of in a ramp deck. It doesn't even sound bad to play one in a red-green beatdown deck, as a 6/6 trample is no laughing matter for the opponent.",green,rix,6,6,Trample
Commune with Dinosaurs,Ixalan,G,Sorcery,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378351/large/145263_200w.jpg?1504901294,2,,"In a deck with 10+ Dinosaurs, this provides a good amount of flexibility. A 1 mana spell that can find you lands or threats, depending on what you need, is valuable. The price is that you need Dinosaurs, or this becomes a glorified land, but once you pay that price this is a good addition. It also has what I assume is a playtest name that somehow slipped through, but that doesn't affect game play.",green,xln,,,Look at the top five cards of your library. You may reveal a Dinosaur or land card from among them and put it into your hand. Put the rest on the bottom of your library in any order.
Conqueror's Galleon,Ixalan,4,Artifact  - Vehicle,Artifact,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377529/large/144788_200w.jpg?1504650131,3,,"In a deck capable of crewing it easily, this gives you the tools you need to conquer the opponent. Having Conqueror's Foothold in play means you win the long game by default, which is worth spending 4 mana and the crew cost. There will be draws where this is a blank, but as far as finishers go, I wouldn't ship it.",gold,xln,2,10,"When Conqueror's Galleon attacks, exile it at end of combat, then return it to the battlefield transformed under your control. Crew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)"
Contract Killing,Ixalan,3BB,Sorcery,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379524/large/145779_200w.jpg?1505504808,3.5,,"Unconditional kill is a fine deal at 4, so paying 5 and getting two Treasures is a contract worth signing. This is playable in every deck but especially good in ramp, so be on the lookout for that strategy if you can pick up a couple.",black,xln,,,"Destroy target creature. Create two colorless Treasure artifact tokens with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Costly Plunder,Ixalan,1B,Instant,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379525/large/145780_200w.jpg?1505504810,1,,"This is a little too much work to draw two cards, and I love drawing two cards. Sacrificing a Treasure token is cute, and eating Vampire tokens is fine, but I'm not looking to run this very often. I do like siding it against Aura-based removal, so keep that in mind.",black,xln,,,"As an additional cost to cast Costly Plunder, sacrifice an artifact or creature. Draw two cards."
Crafty Cutpurse,Rivals of Ixalan,3U,Creature  - Human Pirate,Blue,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422014/large/155790_200w.jpg?1515181114,1.5,,"The flavor on this card is great, until you steal a Dinosaur token all of a sudden. The joke is that you steal Treasure tokens, though it does work against anything. When this card is good, it's unbelievable, especially when you slam it in response to something like Queen's Commission or the enrage on a Raptor Hatchling. Stealing Treasure is solid too, and if this manages to hit, you'll be very happy. Of course, it will also be a 2/2 for 4 many games, which is a real downside. It's also kind of brutal when you pass with 4 mana up and they don't play a token-maker, so keep that in mind when playing with this. High-upside cards do tend to trick people, and this is about as swingy as it gets. It's an excellent sideboard card, even if you don't end up maindecking it.",blue,rix,2,2,"Flash. When Crafty Cutpurse enters the battlefield, each token that would be created under an opponent's control this turn is created under your control instead."
Crash the Ramparts,Ixalan,2G,Instant,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379433/large/145732_200w.jpg?1505504643,1.5,,"Crash the Ramparts lives up to its name, as it will let you crash through for the final points of damage effectively. It's expensive enough that you don't get a ton of value in the early/midgame as you end up spending your whole turn on it, so I wouldn't prioritize it. You want one of these to finish things off, but aren't going to feel too bad if you don't get it.",green,xln,,,Target creature gets +3/+3 and gains trample until end of turn.
Crashing Tide,Rivals of Ixalan,2U,Sorcery,Blue,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422015/large/155792_200w.jpg?1515181116,3,,"You don't need to have a single Merfolk in your deck for this to be good. Bouncing their biggest creature and crashing in is well worth 3 mana if it doesn't cost you a card, and it just gets better from there. If you do have Merfolk, this is straight-up Repulse, which is an excellent card. I like this card, and doubt I'll be passing it often.",blue,rix,,,Crashing Tide has flash as long as you control a Merfolk. Return target creature to its owner's hand. Draw a card.
Crested Herdcaller,Rivals of Ixalan,3GG,Creature  - Dinosaur,Green,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422016/large/155771_200w.jpg?1515181119,3.5,,"Mini-Regisaur Alpha is a premium uncommon, and an easy addition to any green deck. 6/6 worth of stats (with trample) over two cards is a great deal for 5 mana.",green,rix,3,3,"Trample. When Crested Herdcaller enters the battlefield, create a 3/3 green Dinosaur creature token with trample."
Crushing Canopy,Ixalan,2G,Instant,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379434/large/145734_200w.jpg?1505504645,0.5,,"Two sideboard cards in one-hooray. This is mainly for flyers, but it's nice that it can also hit enchantments if need be.",green,xln,,,Choose one —. • Destroy target creature with flying. • Destroy target enchantment.
Curious Obsession,Rivals of Ixalan,U,Enchantment  - Aura,Blue,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422017/large/155794_200w.jpg?1515181122,3,,"Adding +1/+1 to Curiosity is a big game. The extra stats will let your creatures get by theirs more often, and when you have this ability, you want to attack every turn anyway. Plus, if attacks aren't bad, sacrificing this after getting a card or two out of it isn't the end of the world.",blue,rix,,,"Enchant creature. Enchanted creature gets +1/+1 and has ""Whenever this creature deals combat damage to a player, you may draw a card."". At the beginning of your end step, if you didn't attack with a creature this turn, sacrifice Curious Obsession."
Daring Buccaneer,Rivals of Ixalan,R,Creature  - Human Pirate,Red,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421794/large/155594_200w.jpg?1514937658,1.5,3,"If you can reliably play this turn 1, it's a nice pickup. It's a little daring to run this without a lot of Pirates, but it's not the end of the world if you do have to cast it for 3 mana. I'd want 8+ Pirates to make it good, and 4+ to run it begrudgingly.",red,rix,2,2,"As an additional cost to cast Daring Buccaneer, reveal a Pirate card from your hand or pay {2}."
Daring Saboteur,Ixalan,1U,Creature  - Human Pirate,Blue,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375425/large/142002_200w.jpg?1503948878,3,,"This is the most prized of all cards, a 2-drop that's great on turn 2 and very strong late in the game. Chipping in for 2 and looting is a good deal already, and being able to slip by defenses once you have extra mana makes this an auto-play in every deck.",blue,xln,2,1,"{2}{U}: Daring Saboteur can't be blocked this turn. Whenever Daring Saboteur deals combat damage to a player, you may draw a card. If you do, discard a card."
Dark Inquiry,Rivals of Ixalan,2B,Sorcery,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421931/large/155724_200w.jpg?1515173790,0.5,,"Inquiring minds want to know: Is this card playable? I wouldn't maindeck it, though it's a viable sideboard card against decks with expensive finishers. Paying 3 mana and not affecting the board is a tough sell.",black,rix,,,Target opponent reveals his or her hand. You choose a nonland card from it. That player discards that card.
Dark Nourishment,Ixalan,4B,Instant,Black,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379526/large/145781_200w.jpg?1505504811,3,,"Dark Nourishment at uncommon is a bit surprising, but it's still a fine removal spell and you'll always play it. Being an instant is a relevant upgrade over similar cards we've seen in the past, and against all of the non-Dinosaur decks this should kill whatever needs killing.",black,xln,,,Dark Nourishment deals 3 damage to target creature or player. You gain 3 life.
